Categoría,Roles Profesionales
Software Engineering,"Backend Developer, Frontend Developer, Full-Stack Developer, Software Architect, Tech Lead, Engineering Manager, Mobile Developer, DevOps Engineer, Infrastructure Engineer, SRE (Site Reliability Engineer), SysAdmin, DBA, QA Engineer, Test Automation Engineer, Security Engineer, MLOps Specialist, Developer Advocate, API Developer, Cloud Engineer, Game Developer"
Data,"Data Analyst, Business Intelligence Specialist, Data Engineer, Data Scientist, Machine Learning Engineer, AI Researcher, Data Visualization Specialist, Big Data Engineer, Data Architect, NLP Engineer"
Producto,"Product Manager, Product Owner, Project Manager, Delivery Manager, Product Analyst, Lead Product Manager, VP of Product, Technical Product Manager, Growth Product Manager, Innovation Manager"
Diseño,"Brand Designer, Graphic Designer, Motion Designer, Layout Designer, UI/UX Designer, UX Writer, UX Researcher, Interaction Designer, Visual Designer, 3D Artist, Service Designer, Lead Designer"
Marketing,"Brand Marketing Specialist, Creative Marketing Specialist, Content Marketer, Content Strategist, Copywriter, Marketing Generalist, Growth Manager, Performance Marketer, PR Specialist, Social Media Manager, Community Manager"
Sales,"Sales Development Representative, Account Executive, Enterprise Account Executive, Sales Manager, Sales Operations Specialist, Customer Success Manager, Solution Engineer, Sales Engineer, Channel Sales Manager, Regional Sales Director, Chief Revenue Officer"
Legal,"Legal Counsel, Compliance Officer, Legal Manager, Contract Manager, IP Specialist, Data Privacy Officer, General Counsel"
Operaciones,"Operations Manager, Business Operations Manager, Strategy Consultant, Customer Service Specialist, Support Specialist, Operations Analyst"
Finanzas,"Financial Analyst, Accountant, Controller, Finance Manager, CFO, Investment Analyst, Tax Specialist, Auditor"
Recursos Humanos,"HR Generalist, Talent Acquisition Specialist, HR Business Partner, Learning & Development Specialist, Compensation & Benefits Specialist, People Operations Manager, HR Manager, Recruitment Specialist, Onboarding Specialist, Organizational Development Specialist"
Administración,"Administrative Assistant, Office Manager, Executive Assistant, Facilities Manager, Administrative Coordinator, Virtual Assistant, Front Desk Coordinator, Administrative Director"

Categoría,Nivel Profesional,Años de Experiencia,Habilidades Esperadas

# Software Engineering - General
Software Engineering,Estudiante (CS/SE),0-1,"Fundamentos de programación, algoritmos básicos, estructuras de datos, conocimiento básico de un lenguaje de programación (Python, Java, JavaScript), conceptos básicos de bases de datos"
Software Engineering,Junior Developer,0-2,"Desarrollo básico de aplicaciones, familiaridad con control de versiones (Git), resolución de bugs sencillos, introducción a frameworks y metodologías ágiles"
Software Engineering,Mid-level Developer,2-4,"Desarrollo independiente de funcionalidades, testing automatizado, aplicación de patrones de diseño, integración de servicios, colaboración en equipo"
Software Engineering,Senior Developer,4-7,"Diseño y desarrollo de soluciones complejas, optimización del rendimiento, revisión y refactorización de código, liderazgo técnico informal y mentoría"
Software Engineering,Tech Lead,7-10,"Liderazgo técnico de equipo, definición y adopción de estándares de codificación, planificación de proyectos, revisión de código, coaching técnico"
Software Engineering,Software Architect,8-12,"Diseño de arquitecturas de software escalables, definición de patrones de diseño, toma de decisiones tecnológicas, aseguramiento de la calidad técnica"
Software Engineering,Principal Engineer,10-15,"Liderazgo en proyectos estratégicos, consultoría técnica interna, definición de la dirección tecnológica, innovación, mentoría de líderes y equipos"
Software Engineering,Director de Ingeniería,12-18,"Dirección de departamentos técnicos, estrategia tecnológica, desarrollo y gestión de equipos, planificación a largo plazo, optimización organizacional, representación ejecutiva"
Software Engineering,VP of Engineering,15+,"Liderazgo ejecutivo en tecnología, estrategia técnica global, gestión presupuestaria, desarrollo organizacional, alianzas estratégicas, roadmap tecnológico multi-anual"

# Software Engineering - Backend Developer
Software Engineering,Backend Developer Trainee,0-1,"Fundamentos de desarrollo backend, bases de datos básicas, APIs sencillas, primeros pasos con lenguajes de backend, conceptos básicos de servidores"
Software Engineering,Backend Developer Junior,0-2,"Desarrollo backend básico, APIs simples, bases de datos relacionales básicas, testing unitario, implementación de funcionalidades sencillas, Node.js/Python/Java básico"
Software Engineering,Backend Developer Mid-level,2-4,"APIs RESTful complejas, microservicios básicos, optimización de consultas, caché, seguridad básica, testing avanzado, integración con CI/CD"
Software Engineering,Backend Developer Senior,4-7,"Arquitectura backend escalable, microservicios avanzados, optimización de rendimiento, alta disponibilidad, seguridad avanzada, mentorización, liderazgo técnico"
Software Engineering,Backend Tech Lead,7-10,"Liderazgo técnico de equipo backend, diseño de arquitectura, definición de estándares, revisión de código, planificación técnica, desbloqueo de impedimentos"
Software Engineering,Backend Architect,8-12,"Diseño de sistemas distribuidos, arquitectura de microservicios corporativa, escalabilidad horizontal/vertical, estrategias de persistencia, patrones avanzados"
Software Engineering,Principal Backend Engineer,10-15,"Liderazgo de múltiples equipos backend, decisiones arquitectónicas estratégicas, consultoría interna, innovación tecnológica, mentorización de seniors y leads"
Software Engineering,Backend Director,12-18,"Dirección de departamento backend, estrategia tecnológica, roadmap técnico, gestión presupuestaria, gobierno tecnológico, representación ejecutiva"
Software Engineering,VP of Backend Engineering,15+,"Visión estratégica global, arquitectura empresarial, decisiones tecnológicas a largo plazo, transformación digital, liderazgo ejecutivo, innovación disruptiva"

# Software Engineering - Frontend Developer
Software Engineering,Frontend Developer Trainee,0-1,"HTML/CSS básico, JavaScript fundamentales, herramientas básicas de desarrollo web, primeros pasos con frameworks, conceptos básicos de UI"
Software Engineering,Frontend Developer Junior,0-2,"HTML/CSS/JavaScript intermedio, uso básico de frameworks (React/Vue/Angular), responsive design básico, consumo de APIs, componentes simples"
Software Engineering,Frontend Developer Mid-level,2-4,"JavaScript avanzado, manejo de estado, optimización de rendimiento básica, testing frontend, componentización avanzada, accesibilidad, diseño responsive"
Software Engineering,Frontend Developer Senior,4-7,"Arquitectura frontend, patrones de diseño avanzados, optimización de rendimiento, SSR/SSG, PWAs, mentorización, liderazgo técnico, estrategias de testing"
Software Engineering,Frontend Tech Lead,7-10,"Liderazgo técnico de equipo frontend, diseño de arquitectura, definición de estándares, design systems, revisión de código, planificación técnica"
Software Engineering,Frontend Architect,8-12,"Diseño de arquitecturas frontend complejas, micro-frontends, estrategias de escalabilidad, performance a gran escala, integración con UX/UI"
Software Engineering,Principal Frontend Engineer,10-15,"Liderazgo de múltiples equipos frontend, decisiones arquitectónicas estratégicas, consultoría interna, innovación en experiencia de usuario, mentorización"
Software Engineering,Frontend Director,12-18,"Dirección de departamento frontend, estrategia de interfaz de usuario, roadmap técnico, gestión presupuestaria, gobierno tecnológico, representación ejecutiva"
Software Engineering,VP of Frontend Engineering,15+,"Visión estratégica global de interfaces, arquitectura de experiencia digital, transformación digital, liderazgo ejecutivo, innovación disruptiva"

# Software Engineering - Full-Stack Developer
Software Engineering,Full-Stack Developer Trainee,0-1,"Fundamentos de desarrollo web, HTML/CSS/JS básico, conceptos básicos de backend, primeros pasos con bases de datos, herramientas básicas"
